sku,name,category,function,relatives,designer,image,gridorder,neworder
KW3034,Sonara Table Lamp,Table > Decorative,Decorative,Sonara,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3034icpl_5.png,414.0000,,
KW3036,Revello Table Lamp,Table > Decorative,Decorative,Revello,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3036tshl_9.png,413.0000,,
KW3042,Marmont Table Lamp,Table > Decorative,Decorative,Marmont,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3042bgwl_5.png,408.0000,,
KW3085,Zuma Table Lamp,Table > Decorative,Decorative,Zuma,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3085bzab_5.png,717.0000,,
KW3088,Cleo Desk Lamp,Table > Task,Functional,Cleo,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3088bzab_5.png,861.0000,,
KW3091,Halcyon Desk Lamp,Table > Decorative,Decorative,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3091qab_5.png,504.0000,,
KW4012,Melange Small Flush Mount,Ceiling > Flush Mount,Flush Mount,Melange,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4012bz_9.png,3116.0000,,
KW4013,Melange Large Flush Mount,Ceiling > Flush Mount,Flush Mount,Melange,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4013bz_13.png,3119.0000,,
KW4050,Utopia Round Sconce,Ceiling > Flush Mount,Flush Mount,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4050gfr_5.png,3135.0000,,
KW4060,Precision Small Square Flush Mount,Ceiling > Flush Mount,Flush Mount,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4060bzcdg_9.png,3140.0000,,
KW4061,Precision Large Square Flush Mount,Ceiling > Flush Mount,Flush Mount,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4061bzcdg_9.png,3143.0000,,
KW4070,Strada Medium Flush Mount,Ceiling > Flush Mount,Flush Mount,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4070g_5.png,3108.0000,,
KW5020,Cubist Small Chandelier,Ceiling > Chandelier,Chandelier,Cubist,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5020aicg_6.png,1865.0000,,
KW5021,Cubist Medium Chandelier,Ceiling > Chandelier,Chandelier,Cubist,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5021aicg_5.png,1867.0000,,
KW5022,Cubist Large Chandelier,Ceiling > Chandelier,Chandelier,Cubist,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5022aicg_5.png,1869.0000,,
KW5071,Strada Medium Round Chandelier,Ceiling > Chandelier,Chandelier,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5071g_5.png,1849.0000,,
KW5074,Strada Medium Oval Chandelier,Ceiling > Chandelier,Chandelier,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5074g_5.png,1839.0000,,
KW5077,Strada Small Chandelier,Ceiling > Chandelier,Chandelier,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5077g_9.png,1857.0000,,
KW5200,Liaison Single Tier Chandelier,Ceiling > Chandelier,Chandelier,Liaison,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5200pncrg_13.png,1635.0000,,
KW5201,Liaison Double Tier Chandelier,Ceiling > Chandelier,Chandelier,Liaison,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5201abcrg_6.png,1638.0000,,
KW5202,Liaison Triple Tier Chandelier,Ceiling > Chandelier,Chandelier,Liaison,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5202abcrg_5.png,1641.0000,,
ARN5148,Emile Chandelier,Ceiling > Chandelier,Chandelier,Emile,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5148bslcg_5.png,1298.0000,,
ARN5306,Arabelle Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Arabelle,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5306g_5.png,2315.0000,,
ARN5350,Agnes Small Pendant,Ceiling > Pendant,Pendant,Agnes,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5350mbk_6.png,2454.0000,,
ARN1034,Clarkson Triple Floor Lamp,Floor > Decorative,Decorative,Clarkson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1034blkl_5.png,1141.0000,,
ARN1070,Lilian Floor Lamp,Floor > Decorative,Decorative,Lilian,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1070pwl_6.png,904.0000,,
ARN2026,Eaton Sconce,Wall > Decorative,Decorative,Eaton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2026pn_8.png,3604.0000,,
ARN2105,Sanger Large Sconce,Wall > Decorative,Decorative,Sanger,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2105pncg_1.png,3581.0000,,
ARN2220,Claret Round Sconce,Wall > Decorative,Decorative,Claret,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2220bslcg_5.png,3566.0000,,
ARN2226,Claret Tail Sconce,Wall > Decorative,Decorative,Claret,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2226bsll_5.png,3564.0000,,
ARN3003,Clarkson Table Lamp,Table > Task,Functional,Clarkson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3003habl_8.png,958.0000,,
ARN4041,Bolsena Clover Flush Mount,Ceiling > Flush Mount,Flush Mount,Bolsena,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4041bsl_6.png,3257.0000,,
ARN4047,Bolsena Deco Flush Mount,Ceiling > Flush Mount,Flush Mount,Bolsena,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4047g_6.png,3260.0000,,
ARN5126,Heather Small Chandelier,Ceiling > Chandelier,,Heather,AERIN,,1184.0000,,
ARN5170,Lesina Chandelier,Ceiling > Chandelier,Chandelier,Lesina,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5170bslcg_1.png,1258.0000,,
ARN5172,Emile Large Chandelier,Ceiling > Chandelier,,Emile,AERIN,,1163.0000,,
ARN5173,Liscia Chandelier,Ceiling > Chandelier,Chandelier,Liscia,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5173pncg_9.png,1260.0000,,
ARN5213,Laban Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Niles2,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5213habl_5.png,2260.0000,,
ARN5220,Claret Short Chandelier,Ceiling > Chandelier,Chandelier,Claret,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5220gcg_5.png,1300.0000,,
KW3253,Forma Round Base Table Lamp,Table > Task,Functional,Forma,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3253bzwg_13.png,863.0000,,
KW4071,Strada Large Flush Mount,Ceiling > Flush Mount,Flush Mount,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4071g_5.png,3111.0000,,
ARN5221,Claret Tall Chandelier,Ceiling > Chandelier,,Claret,AERIN,,1178.0000,,
BBL5055,Capitol Wide Lantern,Ceiling > Lantern,Lantern,Capitol,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5055bzs_6.png,2103.0000,,
BBL5058,Capitol Narrow Lantern,Ceiling > Lantern,Lantern,Capitol,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5058sbs_10.png,2099.0000,,
KW1250,Forma Floor Lamp,Floor > Task,Functional,Forma,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw1250abwg_5.png,1159.0000,,
KW2043,Utopia Small Single Bath Sconce,Wall > Bath,BATH,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2043pnwg_6.png,5083.0000,,
KW2044,Utopia Large Single Bath Sconce,Wall > Bath,BATH,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2044aiwg_6.png,5086.0000,,
KW2047,Utopia Small Double Bath Sconce,Wall > Bath,BATH,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2047pnwg_5.png,5089.0000,,
KW2048,Utopia Large Double Bath Sconce,Wall > Bath,BATH,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2048pnwg_5.png,5092.0000,,
KW2090,Halcyon Round Sconce,Wall > Decorative,Decorative,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2090abq_5.png,4510.0000,,
KW2091,Halcyon Rectangle Sconce,Wall > Decorative,Decorative,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2091abq_5.png,4512.0000,,
KW2092,Halcyon Sconce,Wall > Decorative,Decorative,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2092abq_5.png,4508.0000,,
KW2112,Covet Tall Box Bath Sconce,Wall > Bath,BATH,Covet,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2112abalb_6.png,4858.0000,,
KW2113,Covet Short Clip Bath Sconce,Wall > Bath,BATH,Covet,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2113abalb_6.png,4861.0000,,
KW2115,Covet Wide Clip Bath Sconce,Wall > Bath,BATH,Covet,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2115abalb_6.png,4864.0000,,
KW2250,Forma Sconce,Wall > Decorative,Decorative,Forma,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2250bzwg_9.png,4514.0000,,
KW2251,Forma Swing Arm Sconce,Wall > Task,Functional,Forma,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2251abwg_5.png,4678.0000,,
KW3021,Effie Table Lamp,Table > Decorative,Decorative,Effie,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3021sbul_5.png,415.0000,,
KW3024,Alta Table Lamp,Table > Decorative,Decorative,Alta,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3024sbkl_10.png,409.0000,,
KW3046,Bayliss Table Lamp,Table > Decorative,Decorative,Bayliss,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3046wlcl_5.png,422.0000,,
KW3055,Utopia Table Lamp,Table > Decorative,Decorative,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3055ail_5.png,565.0000,,
KW5072,Strada Large Round Chandelier,Ceiling > Chandelier,Chandelier,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5072pn_12.png,1850.0000,,
KW5075,Strada Large Oval Chandelier,Ceiling > Chandelier,Chandelier,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5075g_5.png,1845.0000,,
KW5095,Halcyon Medium Round Chandelier,Ceiling > Chandelier,Chandelier,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5095abq_5.png,1275.0000,,
KW5550,Utopia Large Linear Pendant,Ceiling > Linear,Linear,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5550gfa_1.png,2828.0000,,
KW5553,Utopia Small Banded Pendant,Ceiling > Linear,Linear,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5553aiwg_1.png,2826.0000,,
ARN5033,Clarkson Small Single Pendant,Ceiling > Pendant,Pendant,Clarkson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5033habl_5.png,2357.0000,,
ARN5034,Clarkson Large Single Pendant,Ceiling > Pendant,Pendant,Clarkson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5034habl_6.png,2359.0000,,
ARN5036,Clarkson Chandelier,Ceiling > Chandelier,Chandelier,Clarkson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5036habl_5.png,1586.0000,,
ARN1101,Arpont Floor Lamp,Floor > Task,Functional,Arpont,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1101habprc_5.png,1168.0000,,
ARN2056,Darbon Sculpted Sconce,Wall > Bath,Bath,Darbon,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2056pnwg_12.png,5065.0000,,
ARN2059,Clemente Double Sconce,Wall > Task,Functional,Clemente,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2059habblk_5.png,4691.0000,,
ARN2103,Jacqueline Medium Sconce,Wall > Decorative,Decorative,Jacqueline,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2103habwg_9.png,3614.0000,,
ARN2201,Fontaine Single Sconce,Wall > Decorative,Decorative,Fontaine,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2201ail_5.png,3777.0000,,
ARN2202,Fontaine Double Sconce,Wall > Decorative,Decorative,Fontaine,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2202ail_5.png,3779.0000,,
ARN3062,Merlat Table Lamp,Table > Decorative,Decorative,Merlat,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3062shgl_5.png,379.0000,,
ARN3201,Fontaine Table Lamp,Table > Decorative,Decorative,Fontaine,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3201pll_13.png,586.0000,,
ARN4306,Arabelle Flush Mount,Ceiling > Flush Mount,Flush Mount,Arabelle,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4306bslfg_6.png,3252.0000,,
ARN5201,Fontaine Linear Chandelier,Ceiling > Linear,Linear,Fontaine,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5201ail_5.png,3009.0000,,
ARN5204,Fontaine Vertical Chandelier,Ceiling > Chandelier,Chandelier,Fontaine,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5204ail_6.png,1579.0000,,
KW1012,Halcyon Floor Lamp,Floor > Decorative,Decorative,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw1012abqab_5.png,1115.0000,,
KW1300,Revelle Floor Lamp,Floor > Decorative,,Revelle,Kelly Wearstler,,1071.0000,,
KW2012,Melange Pill Form Sconce,Wall > Decorative,Decorative,Melange,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2012abalb_5.png,4480.0000,,
KW2013,Melange Elongated Sconce,Wall > Decorative,Decorative,Melange,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2013abalb_6.png,4486.0000,,
KW2033,Utopia Large Band Sconce,Wall > Bath,BATH,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2033gwg_9.png,5080.0000,,
KW2220,Precision Cylinder Sconce,Wall > Bath,BATH,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2220bzwg_5.png,4927.0000,,
KW2300,Revelle Small Sconce,Wall > Decorative,Decorative,Revelle,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2300aisg_5.png,4624.0000,,
KW2301,Revelle Large Sconce,Wall > Decorative,Decorative,Revelle,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2301pnsg_10.png,4628.0000,,
KW2410,Cleo Sconce,Wall > Task,Functional,Cleo,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2410bzabwht_5.png,4680.0000,,
KW3012,Halcyon Accent Table Lamp,Table > Decorative,Decorative,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3012cgl_6.png,502.0000,,
KW3331,Coquette Table Lamp,Table > Task,Functional,Coquette,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3331abblk_5.png,946.0000,,
KW3410,Cleo Table Lamp,Table > Task,Functional,Cleo,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3410bzab_6.png,860.0000,,
KW4032,Utopia Medium Round Flush Mount,Ceiling > Flush Mount,Flush Mount,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw4032aifrg_5.png,3133.0000,,
KW5012,Halcyon Large Three Tier Chandelier,Ceiling > Chandelier,Chandelier,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5012abq_5.png,1276.0000,,
KW5036,Utopia Medium 5 Arm Chandelier,Ceiling > Chandelier,Chandelier,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5036gwg_1.png,1613.0000,,
KW5091,Halcyon Large Chandelier,Ceiling > Chandelier,Chandelier,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5091abqfrg_6.png,1277.0000,,
KW5098,Halcyon Linear Chandelier,Ceiling > Linear,Linear,Halcyon,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5098abq_6.png,2836.0000,,
KW5221,Precision Small Pendant,Ceiling > Pendant,Pendant,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5221abwg_5.png,2478.0000,,
KW5223,Precision Large Pendant,Ceiling > Pendant,Pendant,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5223abwg_5.png,2481.0000,,
ARN1301,Beaumont Floor Lamp,Floor > Decorative,Decorative,Beaumont,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1301ail_1.png,886.0000,,
ARN1501,Graphic Floor Lamp,Floor > Task,Functional,Graphic,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1501habblk_1.png,1196.0000,,
ARN2212,Croz Long Sconce,Wall > Bath,Bath,Croz,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2212habfg_1.png,5067.0000,,
ARN2305,Sanger Long Sconce,Wall > Decorative,Decorative,Sanger,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2305pncg_1.png,3582.0000,,
ARN2534,Benit Small Wall Washer,Wall > Decorative,Decorative,Benit,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2534pw_1.png,4630.0000,,
ARN2612,Arvour Medium Wall Washer,Wall > Decorative,Decorative,Arvour,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2612gfa_4.png,4638.0000,,
ARN3144,Dover Buffet Lamp,Table > Decorative,Decorative,Dover,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3144gl_1.png,533.0000,,
ARN3655,Toulon Table Lamp,Table > Decorative,Decorative,Toulon,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3655vil_1.png,367.0000,,
ARN3711,Clausis Large Table Lamp,Table > Decorative,Decorative,Clausis,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3711gl_1.png,526.0000,,
ARN4321,Mezan Large Flush Mount,Ceiling > Flush Mount,Flush Mount,Mezan,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4321habwg_1.png,3321.0000,,
ARN5109,Lauzet Chandelier,Ceiling > Chandelier,Chandelier,Lauzet,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5109pncg_1.png,1264.0000,,
ARN5125,Bonnington Large Chandelier,Ceiling > Chandelier,Chandelier,Bonnington,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5125habcg_1.png,1254.0000,,
ARN5401,Cristol Tiered Chandelier,Ceiling > Chandelier,Chandelier,Cristol,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5401habwg_1.png,1341.0000,,
ARN5426,Benit Medium Sculpted Chandelier,Ceiling > Chandelier,Chandelier,Benit,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5426pw_1.png,1809.0000,,
KW2704,Avant Small Curve Sconce,Wall > Decorative,Decorative,Avant,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2704abfg_1.png,4335.0000,,
KW2706,Esker Envelope Sconce,Wall > Decorative,Decorative,Esker,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2706bz_4.png,4364.0000,,
KW2707,Esker Single Fold Sconce,Wall > Decorative,Decorative,Esker,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2707ab_1.png,4391.0000,,
KW2708,Esker Double Fold Sconce,Wall > Decorative,Decorative,Esker,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2708bz_4.png,4394.0000,,
KW3109,Melange Desk Lamp,Table > Decorative,Decorative,Melange,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3109bzalb_1.png,500.0000,,
KW3118,Cleo Orb Base Accent Lamp,Table > Decorative,Decorative,Cleo,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3118abwht_1.png,454.0000,,
KW3127,Bloque Table Lamp,Table > Decorative,Decorative,Bloque,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3127abbzpnab_1.png,718.0000,,
KW3612,Armato Small Table Lamp,Table > Decorative,Decorative,Armato,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3612sbmab_1.png,397.0000,,
KW3614,Beton Large Table Lamp,Table > Decorative,Decorative,Beton,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3614awcl_1.png,393.0000,,
KW5181,Strada Ring Chandelier,Ceiling > Chandelier,Chandelier,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5181ai_1.png,1837.0000,,
KW5509,Cleo Pendant,Ceiling > Pendant,Pendant,Cleo,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5509abawfa_1.png,2417.0000,,
KW5511,Cleo Large Chandelier,Ceiling > Chandelier,Chandelier,Cleo,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5511abwht_1.png,1597.0000,,
KW5523,Avant Large Linear Pendant,Ceiling > Linear,Linear,Avant,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw5523abfg_1.png,2830.0000,,
ARN1420,Alander Floor Lamp,Floor > Decorative,Decorative,Alander,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1420habl_1.png,1044.0000,,
ARN2255,Turenne Small Sconce,Wall > Bath,Bath,Turenne,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2255habcg_1.png,5310.0000,,
ARN2310,Alpine Single Sconce,Wall > Bath,Bath,Alpine,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2310habcg_1.png,4763.0000,,
ARN2611,Penz Medium Cylindrical Sconce,Wall > Bath,Bath,Penz,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2611pnwg_1.png,5024.0000,,
ARN2650,Keil Swing Arm Wall Light,Wall > Task,Functional,Keil,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2650habblkl_1.png,4644.0000,,
ARN2910,Henson Single Sconce,Wall > Decorative,Decorative,Henson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2910habalb_1.png,4502.0000,,
ARN3029,Trieste Small Table Lamp,Table > Decorative,Decorative,Trieste,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3029habl_1.png,505.0000,,
ARN3521,Leitha Large Table Lamp,Table > Decorative,Decorative,Leitha,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3521albl_1.png,737.0000,,
ARN3611,Pierrepont Medium Table Lamp,Table > Decorative,Decorative,Pierrepont,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3611stwl_4.png,339.0000,,
ARN3633,Aumar Large Table Lamp,Table > Decorative,Decorative,Aumar,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3633pbcl_1.png,369.0000,,
ARN5145,Ambrois Medium Chandelier,Ceiling > Chandelier,Chandelier,Ambrois,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5145habcg_1.png,1251.0000,,
ARN5122,Bellvale Small Chandelier,Ceiling > Chandelier,Chandelier,Bellvale,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5122habcg_1.png,1263.0000,,
ARN5255,Turenne Medium Globe Pendant,Ceiling > Pendant,Pendant,Turenne,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5255pncg_1.png,2914.0000,,
ARN5310,Alpine Medium Chandelier,Ceiling > Chandelier,Chandelier,Alpine,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5310habcg_1.png,1619.0000,,
CS3602,Addison Medium Table Lamp,Table > Decorative,Decorative,Addison,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3602ivopl_1.png,197.0000,,
CS3603,Addison Large Table Lamp,Table > Decorative,Decorative,Addison,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3603ivopl_1.png,202.0000,,
CS3606,Chambers Medium Table Lamp,Table > Decorative,Decorative,Chambers,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3606cinpl_1.png,207.0000,,
CS3607,Chambers Large Table Lamp,Table > Decorative,Decorative,Chambers,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3607aqcpl_1.png,211.0000,,
CS3611,Coy Medium Table Lamp,Table > Decorative,Decorative,Coy,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3611ivopl_1.png,184.0000,,
CS3612,Coy Large Table Lamp,Table > Decorative,Decorative,Coy,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3612ivopl_4.png,190.0000,,
CS3622,Newcomb Medium Table Lamp,Table > Decorative,Decorative,Newcomb,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3622mbbpl_1.png,176.0000,,
CS3623,Newcomb Large Table Lamp,Table > Decorative,Decorative,Newcomb,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3623ivopl_4.png,182.0000,,
CS3626,Nota Medium Table Lamp,Table > Decorative,Decorative,Nota,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3626msbpl_1.png,214.0000,,
CS3627,Nota Large Table Lamp,Table > Decorative,Decorative,Nota,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3627ivopl_1.png,221.0000,,
CS3631,Smith Medium Table Lamp,Table > Decorative,Decorative,Smith,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3631ivopl_1.png,227.0000,,
CS3632,Smith Large Table Lamp,Table > Decorative,Decorative,Smith,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs3632ivopl_4.png,232.0000,,
CS5300,Hadley Small Pendant,Ceiling > Pendant,Pendant,Hadley,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs5300nbawt_1.png,2438.0000,,
CS5301,Hadley Medium Pendant,Ceiling > Pendant,Pendant,Hadley,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs5301nbawt_1.png,2440.0000,,
CS5302,Hadley Large Pendant,Ceiling > Pendant,Pendant,Hadley,Christopher Spitzmiller,https://www.circalighting.com/media/catalog/product/c/s/cs5302nbawt_1.png,2442.0000,,
KW2118,Liaison Medium Sconce,Wall > Bath,Bath,Liaison,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2118pncrg_4.png,5094.0000,,
KW1611,Alma Floor Lamp,Floor > Task,Functional,Alma,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw1611abwm_1.png,1155.0000,,
KW2404,Reverie Double Sconce,Wall > Decorative,Decorative,Reverie,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2404crbab_1.png,3535.0000,,
KW2705,Avant Large Curved Sconce,Wall > Decorative,Decorative,Avant,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2705abfg_1.png,4452.0000,,
