sku,name,category,function,relatives,designer,image,gridorder,neworder
BBL2070,Ojai Small Sconce,Outdoor > Wall,Wall,Ojai,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2070bzfg_5.png,5565.0000,,
BBL2072,Ojai Large Sconce,Outdoor > Wall,Wall,Ojai,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2072bzfg_6.png,5566.0000,,
ARN5001,Hampton Medium Chandelier,Ceiling > Chandelier,Chandelier,Hampton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5001pw_12.png,1815.0000,,
ARN3600,Warren Mini Table Lamp,Table > Decorative,Decorative,Warren Table,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3600gl_5.png,521.0000,,
ARN1000,Edgemere Floor Lamp,Floor > Decorative,Decorative,Edgemere,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1000gl_5.png,931.0000,,
ARN1001,Frankfort Floor Lamp,Floor > Decorative,Decorative,Frankfort,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1001ail_5.png,1086.0000,,
ARN1002,Dover Floor Lamp,Floor > Decorative,Decorative,Dover,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1002gl_5.png,872.0000,,
ARN1003,Clarkson Floor Lamp,Floor > Task,Functional,Clarkson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1003blkl_5.png,1170.0000,,
ARN1004,Bedford Floor Lamp,Floor > Decorative,,Bedford1,AERIN,,1034.0000,,
ARN1006,Charlton Floor Lamp,Floor > Task,Functional,Charlton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1006blk_5.png,1192.0000,,
ARN2000,Edgemere Wall Light,Wall > Bath,Bath,Edgemere,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2000pwwg_9.png,4842.0000,,
ARN2001,Hampton Wall Light,Wall > Decorative,Decorative,Hampton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2001g_5.png,3788.0000,,
ARN2002,Frankfort Articulating Wall Light,Wall > Task,Functional,Frankfort,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2002blkl_1.png,4746.0000,,
ARN2003,Clarkson Double Sconce,Wall > Task,Functional,Clarkson,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2003habl_1.png,4631.0000,,
ARN2004,Union Single Arm Sconce,Wall > Decorative,Decorative,Union,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2004bzwg_13.png,4006.0000,,
ARN2005,Union Double Arm Sconce,Wall > Decorative,Decorative,Union,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2005pnwg_10.png,4009.0000,,
ARN2006,Charlton Wall Light,Wall > Task,Functional,Charlton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2006blk_1.png,4709.0000,,
ARN2007,Lynn Wall Light,Wall > Decorative,Decorative,Lynn,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2007bslcg_6.png,3568.0000,,
ARN3000,Morton Table Lamp,Table > Decorative,Decorative,Morton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3000cgl_5.png,518.0000,,
ARN3002,Dover Table Lamp,Table > Decorative,Decorative,Dover,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3002bsll_5.png,530.0000,,
ARN3004,Cliff Table Lamp,Table > Decorative,Decorative,Cliff,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3004bml_5.png,443.0000,,
ARN3006,Charlton Table Lamp,Table > Task,Functional,Charlton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3006blk_5.png,939.0000,,
ARN3601,Warren Table Lamp,Table > Decorative,Decorative,Warren Table,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3601bsll_6.png,522.0000,,
ARN3606,Gannet Table Lamp,Table > Decorative,Decorative,Gannet Table,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3606bcl_5.png,346.0000,,
ARN3608,Culloden Table Lamp,Table > Decorative,Decorative,Culloden Table,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3608blll_5.png,354.0000,,
ARN4000,Rosehill Semi-Flush,Ceiling > Flush Mount,Flush Mount,Rosehill,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4000habwg_5.png,3059.0000,,
ARN5002,Mill Large Globe Lantern,Ceiling > Lantern,Lantern,Mill,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5002g_5.png,2184.0000,,
ARN5100,Renwick Small Sphere Chandelier,Ceiling > Chandelier,Chandelier,Renwick,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5100bslcg_5.png,1302.0000,,
ARN5102,Jacqueline Chandelier,Ceiling > Chandelier,Chandelier,JACQUELINE,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5102habwg_5.png,1278.0000,,
ARN5105,Sanger Small Chandelier,Ceiling > Chandelier,Chandelier,SANGER,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5105pncg_6.png,1265.0000,,
ARN5106,Heather Chandelier,Ceiling > Chandelier,Chandelier,Heather,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5106hab_6.png,1306.0000,,
ARN5108,Vestry Chandelier,Ceiling > Chandelier,Chandelier,VESTRY,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5108habcg_5.png,1404.0000,,
ARN5200,Pondview Medium Jar Lantern,Ceiling > Lantern,Lantern,Pondview,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5200hab_8.png,2203.0000,,
ARN1005,Riga Floor Lamp,Floor > Decorative,Decorative,Riga,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1005habcgl_8.png,907.0000,,
ARN1007,Sommerard Floor Lamp,Floor > Task,Functional,Sommerard,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1007habblk_5.png,1199.0000,,
ARN1010,Clemente Floor Lamp,Floor > Task,Functional,Clemente,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1010habhab_5.png,1184.0000,,
ARN2010,Deauville Single Sconce,Wall > Decorative,Decorative,Deauville2,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2010pncg_9.png,3593.0000,,
ARN2013,Rosehill Linear Wall Light,Wall > Bath,Bath,Rosehill,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2013pnwg_5.png,4916.0000,,
ARN2020,Irving Wall Washer,Wall > Decorative,Decorative,Irving2,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2020hab_10.png,4646.0000,,
ARN2024,Clemente Wall Light,Wall > Task,Functional,Clemente,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2024habblk_5.png,4688.0000,,
ARN3008,Paix Table Lamp,Table > Task,Functional,Paix,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3008habblk_5.png,919.0000,,
ARN3010,Clemente Table Lamp,Table > Task,Functional,Clemente,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3010habblk_6.png,930.0000,,
ARN3011,Beecher Table Lamp,Table > Decorative,,Beecher,AERIN,,425.0000,,
ARN3013,Eliot Table Lamp,Table > Decorative,Decorative,Eliot,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3013bwvl_5.png,356.0000,,
ARN3030,Trieste Table Lamp,Table > Decorative,Decorative,Trieste,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3030habl_5.png,508.0000,,
ARN3100,Cannes Table Lamp,Table > Decorative,Decorative,Cannes2,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3100cgl_5.png,524.0000,,
ARN3610,Gaios Table Lamp,Table > Decorative,Decorative,Gaios,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3610phwl_5.png,344.0000,,
ARN4001,Rosehill Large Semi-Flush Mount,Ceiling > Flush Mount,Flush Mount,Rosehill,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4001habwg_5.png,3061.0000,,
ARN4002,Rosehill Elongated Semi-Flush,Ceiling > Flush Mount,Flush Mount,Rosehill,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4002pnwg_9.png,3057.0000,,
ARN4004,Renwick Flush Mount,Ceiling > Flush Mount,Flush Mount,Renwick,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4004bslcg_6.png,3027.0000,,
ARN4102,Jacqueline Flush Mount,Ceiling > Flush Mount,Flush Mount,Jacqueline,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn4102habwg_10.png,3032.0000,,
ARN5003,Mill Small Globe Lantern,Ceiling > Lantern,Lantern,mill,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5003g_9.png,2181.0000,,
ARN5011,Hampton Large Chandelier,Ceiling > Chandelier,Chandelier,Hampton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5011pw_9.png,1817.0000,,
ARN5101,Renwick Large Sphere Chandelier,Ceiling > Chandelier,Chandelier,Renwick,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5101gcg_13.png,1304.0000,,
ARN5103,Jacqueline Long Chandelier,Ceiling > Chandelier,Chandelier,jacqueline,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5103habcg_13.png,1282.0000,,
ARN5104,Jacqueline Two-Tier Chandelier,Ceiling > Chandelier,Chandelier,jacqueline,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5104habwg_9.png,1286.0000,,
ARN5110,Montmartre Chandelier,Ceiling > Chandelier,Chandelier,Montmartre,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5110habcg_5.png,1410.0000,,
ARN5112,Tuileries Chandelier,Ceiling > Chandelier,Chandelier,Tuileries,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5112habl_1.png,1494.0000,,
ARN5116,Wharton Chandelier,Ceiling > Chandelier,Chandelier,Wharton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5116habcg_5.png,1388.0000,,
ARN5120,Sanger Large Chandelier,Ceiling > Chandelier,Chandelier,Sanger,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5120pncg_5.png,1266.0000,,
ARN5202,O'Connor Chandelier,Ceiling > Chandelier,Chandelier,O'Conner,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn5202habalb_5.png,1803.0000,,
BBL2060,Normandy Small Sconce,Outdoor > Wall,,Normandy2,Barbara Barry,,5185.0000,,
BBL2062,Normandy Large Sconce,Outdoor > Wall,,Normandy2,Barbara Barry,,5186.0000,,
BBL2063,Normandy Large Flat Top Sconce,Outdoor > Wall,,Normandy2,Barbara Barry,,5882.0000,,
BBL4065,Normandy Small Flush Mount,Outdoor > Ceiling,,Normandy2,Barbara Barry,,5942.0000,,
BBL4066,Normandy Large Flush Mount,Outdoor > Ceiling,,Normandy2,Barbara Barry,,7001.0000,,
ARN1009,Sommerard Triple Arm Floor Lamp,Floor > Task,Functional,Sommerard,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1009habwht_6.png,1201.0000,,
ARN1014,Moresby Floor Lamp,Floor > Task,Functional,moresby,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1014habhab_6.png,1165.0000,,
ARN1022,Bristol Floor Lamp,Floor > Decorative,Decorative,bristol2,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1022ail_5.png,878.0000,,
ARN2022,Bristol Single Sconce,Wall > Decorative,Decorative,bristol2,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2022bsll_5.png,3768.0000,,
ARN2034,Carbet Sconce,Wall > Decorative,Decorative,carbet,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2034pn_12.png,4534.0000,,
ARN2036,Selfoss Sconce,Wall > Decorative,Decorative,selfoss,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2036blk_5.png,4411.0000,,
ARN2039,Iveala Single Sconce,Wall > Decorative,Decorative,iveala,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2039habalb_5.png,4498.0000,,
ARN3022,Bristol Table Lamp,Table > Decorative,Decorative,bristol2,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3022gl_5.png,615.0000,,
ARN3024,Lineham Table Lamp,Table > Decorative,Decorative,Lineham,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3024albl_5.png,486.0000,,
ARN3614,Kapila Table Lamp,Table > Decorative,Decorative,kapila,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn3614pbcl_7.png,360.0000,,
